Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh,Nuclear Consumption - TWh,Hydro Consumption - TWh,Wind Consumption - TWh,Solar Consumption - TWh,Geo Biomass Other - TWh
Africa,,1965,323.4961383333333,327.33316444444444,9.543754166666666,0,38.62676444444444,0,0,0
Africa,,1966,323.12219333333337,358.1326738888889,10.669916111111112,0,43.08334472222222,0,0,0
Africa,,1967,330.2915847222222,355.28145861111113,10.545669722222224,0,44.97399,0,0,0
Africa,,1968,343.5129108333333,374.8521305555555,10.688969722222222,0,52.60650166666667,0,0,0
Africa,,1969,346.64292166666667,379.9730861111111,12.491999722222223,0,61.39136,0,0,0
Africa,,1970,360.75689944444446,419.8099002777777,15.520325,0,76.75119388888889,0,0,0
Africa,,1971,383.0123186111111,474.4581836111111,18.40526361111111,0,72.25941916666666,0,0,0.164
Africa,,1972,384.2108033333333,514.2536772222222,24.670656944444445,0,82.31443444444444,0,0,0.165
Africa,,1973,408.9103533333333,553.1083622222222,39.55179138888889,0,87.07141,0,0,0.17
Africa,,1974,425.6462261111111,572.2501369444445,44.5184875,0,99.07520638888889,0,0,0.175
Africa,,1975,451.0805036111111,598.7911399999999,53.6383775,0,104.77213888888888,0,0,0.172
Africa,,1976,481.0741561111111,664.2742522222222,60.98139,0,116.10453666666666,0,0,0.185
Africa,,1977,491.698455,703.373181388889,68.23419083333333,0,127.57991138888887,0,0,0.189
Africa,,1978,477.81558277777776,740.625191111111,97.36989777777777,0,128.63038527777778,0,0,0.195
Africa,,1979,507.2469963888889,789.8455275,148.84281583333333,0,137.68120277777777,0,0,0.201
Africa,,1980,543.5570594444445,835.2707033333334,186.9139772222222,0,134.19940111111111,0,0,0.207
Africa,,1981,635.7987833333334,887.8791961111111,228.4911561111111,0,139.42473916666663,0,0,0.218
Africa,,1982,701.1758825000001,932.2492286111112,246.7335486111111,0,139.4617697222222,0,0,0.236
Africa,,1983,713.2460472222223,963.1884741666668,271.27534694444444,0,125.68655583333332,0,0,0.23
Africa,,1984,762.8978716666667,985.0113427777776,259.9027805555556,10.902777777777777,123.58325916666666,0,0,0.234
Africa,,1985,787.1658894444444,1007.608725,278.84274694444446,14.76388888888889,137.3602363888889,0,0,0.269
Africa,,1986,805.3560963888889,992.4227591666668,313.2712025,24.452777777777776,142.07048138888888,0,0,0.659
Africa,,1987,828.3197322222222,1047.2105469444443,323.38435722222226,17.130555555555556,136.26794527777778,0,0,0.658
Africa,,1988,890.1608047222222,1090.4672349999998,358.44454055555553,29.14722222222222,148.8707122222222,0,0,0.626
Africa,,1989,835.6208619444444,1130.0311427777776,371.4710411111111,30.83055555555556,156.3228188888889,0,0,0.617
Africa,,1990,877.8098613888889,1145.123741111111,398.6453844444444,23.46944444444444,159.04071972222224,0,0,0.808
Africa,,1991,853.1945686111111,1148.6610069444444,401.6355930555556,25.4,168.47635666666665,0,0,0.824
Africa,,1992,858.3007480555555,1171.7377780555555,421.2702575,25.80000083333333,160.7230325,0,0,0.85425
Africa,,1993,871.6152063888889,1181.508105,412.6439775,20.152778055555554,157.45140916666665,0.0055555555555555,0,0.9397
Africa,,1994,894.1687308333334,1221.5419658333333,431.8279522222222,26.93611083333333,159.9890238888889,0.015,0,0.837
Africa,,1995,921.80284,1264.9708244444444,461.24349777777775,31.391665,166.02465805555556,0.0174999999999999,0,1.0207
Africa,,1996,934.5518386111112,1296.4831547222225,484.19174805555554,32.708333611111115,173.10127416666666,0.0197222222222222,0,1.260093088
Africa,,1997,958.3213991666668,1331.6567583333333,474.4755361111111,35.13055527777777,177.3680488888889,0.02,0,1.388640408
Africa,,1998,936.3072786111112,1363.7691558333331,499.3369944444444,37.78055388888889,185.15246638888888,0.0211111111111111,0,1.714549286
Africa,,1999,965.48062,1414.1560838888888,504.0196075,35.65833305555556,196.34517027777773,0.0549999999999999,0,1.696124799
Africa,,2000,963.273915,1421.5153769444444,556.8223563888889,36.138889166666665,209.01615722222223,0.4875,0.0331694444444444,2.269063158
Africa,,2001,975.5876619444444,1434.9808241666667,634.6361538888889,29.581655,223.16395305555557,1.1468927777777778,0.0412858333333333,2.335352632
Africa,,2002,934.1009275,1467.215869722222,670.605376111111,32.878546944444444,233.56209,1.216278611111111,0.0490011111111111,2.2864
Africa,,2003,1016.712642222222,1507.7376547222225,711.5067125,34.498555555555555,225.7747155555556,1.459163888888889,0.0581077777777777,2.6224
Africa,,2004,1118.2899991666666,1557.3242830555555,783.0682180555556,36.17947222222222,236.60716194444444,2.079740277777778,0.0697352777777777,2.978849535
Africa,,2005,1038.0312477777777,1650.4034141666666,807.7815880555556,30.375810277777774,239.57555083333332,2.0991291666666667,0.0825147222222222,3.009669408
Africa,,2006,1052.7660088888888,1658.4732472222222,843.9347886111111,26.799055,246.56509444444444,2.2788702777777776,0.1041302777777777,3.770404784
Africa,,2007,1070.1837125,1717.3990269444444,900.5199158333334,30.06078083333333,253.2483672222222,2.699343333333333,0.1368852777777777,3.142048288
Africa,,2008,1179.483909722222,1805.798055,935.6593227777778,34.327328333333334,256.4708938888889,3.462768333333333,0.1933147222222222,3.267395686
Africa,,2009,1174.4275441666666,1876.0583280555556,941.3703819444444,33.59598611111111,261.71903194444445,4.16927861111111,0.2522530555555555,3.56272219
Africa,,2010,1162.9921355555557,1966.0737875,981.2584944444444,35.269785,280.10063722222225,5.956733333333333,0.554118611111111,3.825406558
Africa,,2011,1145.844919722222,1911.735672222222,1061.085588611111,33.43506111111111,286.2137130555556,6.184537777777777,1.5586469444444444,3.929656611
Africa,,2012,1117.771956111111,2017.0145522222224,1147.1777358333331,33.40096611111111,285.7862277777777,6.479653611111111,2.5614444444444446,4.085024546
Africa,,2013,1129.611669722222,2090.719525,1170.2537786111109,36.11475472222222,301.1837936111111,9.20009111111111,2.0198,4.4308941
Africa,,2014,1183.1220594444444,2123.7742491666663,1241.3191608333332,35.10449027777778,314.87357944444443,12.877430833333332,4.931272777777777,5.521055906
Africa,,2015,1117.560296388889,2197.0032358333333,1324.946863333333,30.95669638888889,303.99601388888885,22.541914722222224,9.087343333333331,7.191202122
Africa,,2016,1187.789695833333,2214.010135833333,1370.919078611111,37.787278055555554,293.5236225,28.1062575,12.876234722222222,7.281251193
Africa,,2017,1187.481281111111,2229.898823055555,1449.80345,35.482499999999995,314.5413055555556,31.144435277777777,17.256116388888888,7.653766329
Africa,,2018,1167.454926111111,2271.5887197222223,1540.247786111111,28.780701666666666,330.90474666666665,36.71086222222222,20.61730638888889,8.097891299
Africa,,2019,1199.2301322222222,2299.14435,1553.3842177777776,33.66663944444444,339.77531,46.69581972222223,27.00784944444444,8.22808243
Africa,,2020,1141.118618888889,1996.2920572222224,1529.68159,38.38613,351.74965027777773,53.758161666666666,30.61148972222222,8.068135119
Algeria,DZA,1965,0.8141,15.405251944444444,7.4305,0,1.1111111111111112,0,0,0
Algeria,DZA,1966,0.79084,20.272705277777774,7.71925,0,0.9861111111111112,0,0,0
Algeria,DZA,1967,0.60476,18.942031111111117,7.48825,0,1.138888888888889,0,0,0
Algeria,DZA,1968,0.63965,20.167301388888887,7.87325,0,1.5638888888888889,0,0,0
Algeria,DZA,1969,0.8141,21.30593,10.3516875,0,1.0027777777777778,0,0,0
Algeria,DZA,1970,0.96529,24.34768083333333,9.730875,0,1.611111111111111,0,0,0
Algeria,DZA,1971,0.26749,27.44005027777777,11.0495,0,0.9166666666666666,0,0,0
Algeria,DZA,1972,0.2326,30.121414166666664,12.830125,0,1.375,0,0,0
Algeria,DZA,1973,0.26749,32.900345,17.8591875,0,2.088888888888889,0,0,0
Algeria,DZA,1974,0.2209699999999999,36.54384083333333,20.6745,0,1.380555555555555,0,0,0
Algeria,DZA,1975,0.27912,40.6306675,28.49,0,0.9111111111111112,0,0,0
Algeria,DZA,1976,0.5466099999999999,46.7177325,33.6875,0,1.0805555555555555,0,0,0
Algeria,DZA,1977,0.70943,52.80649361111111,35.901250000000005,0,0.7472222222222222,0,0,0
Algeria,DZA,1978,0.3605299999999999,54.60794472222222,57.65375,0,0.6944444444444444,0,0,0
Algeria,DZA,1979,0.83736,65.31861722222223,81.52375,0,0.8083333333333332,0,0,0
Algeria,DZA,1980,0.74432,66.20243,109.43625,0,0.7138888888888888,0,0,0
Algeria,DZA,1981,0.52335,71.32307277777777,142.2575,0,1.0166666666666666,0,0,0
Algeria,DZA,1982,9.71105,75.57341777777776,161.41125,0,1.3305555555555555,0,0,0
Algeria,DZA,1983,8.664349999999999,84.8924211111111,176.715,0,0.6527777777777778,0,0,0
Algeria,DZA,1984,9.60638,94.00200638888889,155.25125,0,1.2555555555555555,0,0,0
Algeria,DZA,1985,10.02506,96.55380305555556,153.80749999999998,0,1.7944444444444445,0,0,0
Algeria,DZA,1986,10.29255,98.02125416666668,168.4375,0,0.6944444444444444,0,0,0
Algeria,DZA,1987,12.30454,99.10052388888889,172.2875,0,1.386111111111111,0,0,0
Algeria,DZA,1988,11.57185,99.1725986111111,194.13625,0,0.5083333333333333,0,0,0
